GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
whatTests,testselector.option,OptionParser,269,0,10,0,61,0,19,0,14,0
whatTests,testselector.testselector,Test,0,63,0,4,0,16,0,10,0,8
whatTests,testselector.testselector,FromTheBottom,0,924,4,86,0,179,4,66,0,25
whatTests,testselector.reportfromtesting,XMLReport,182,0,6,0,41,0,6,0,3,0
whatTests,testselector.util,ClassPathUpdater,136,99,7,5,33,21,9,8,5,6
whatTests,testselector.util,Util,8,429,17,111,4,83,18,59,1,12
whatTests,testselector.main,Main,7,0,0,0,2,0,2,0,2,0
whatTests,junitrunner,Runner,3,109,0,4,1,20,1,5,1,3
whatTests,testselector.project,NewProject.new SceneTransformer() {...},0,53,0,0,0,12,0,2,0,2
whatTests,testselector.project,PreviousProject,0,10,0,0,0,3,0,1,0,1
whatTests,testselector.project,NewProject,17,344,0,24,4,67,0,16,0,4
whatTests,testselector.project,SootMethodMoved,21,78,1,9,6,19,2,9,1,5
whatTests,testselector.project,Project,0,556,0,48,0,132,0,46,0,22
whatTests,testselector.exception,InvalidTargetPaths,0,4,0,0,0,2,0,1,0,1
whatTests,testselector.exception,NoTestFoundedException,0,4,0,0,0,2,0,1,0,1
whatTests,testselector.exception,NoNameException,4,0,0,0,2,0,1,0,1,0
whatTests,testselector.exception,NoPathException,8,0,0,0,4,0,2,0,2,0
