GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
whatTests,testselector.option,OptionParser,269,0,10,0,61,0,19,0,14,0
whatTests,testselector.testselector,Test,0,59,0,4,0,15,0,9,0,7
whatTests,testselector.testselector,FromTheBottom,0,911,4,86,0,178,4,66,0,25
whatTests,testselector.reportfromtesting,XMLReport,178,0,6,0,40,0,7,0,4,0
whatTests,testselector.util,ClassPathUpdater,33,98,1,5,7,20,2,8,1,6
whatTests,testselector.util,Util,3,250,1,67,2,54,1,44,0,11
whatTests,testselector.main,Main,7,0,0,0,2,0,2,0,2,0
whatTests,junitrunner,Runner,0,107,0,4,0,19,0,5,0,3
whatTests,testselector.project,NewProject.new SceneTransformer() {...},0,53,0,0,0,12,0,2,0,2
whatTests,testselector.project,PreviousProject,0,9,0,0,0,3,0,1,0,1
whatTests,testselector.project,NewProject,17,335,0,24,4,66,0,16,0,4
whatTests,testselector.project,SootMethodMoved,21,78,1,9,6,19,2,9,1,5
whatTests,testselector.project,Project,0,550,0,48,0,131,0,45,0,21
whatTests,testselector.exception,InvalidTargetPaths,0,4,0,0,0,2,0,1,0,1
whatTests,testselector.exception,NoTestFoundedException,0,4,0,0,0,2,0,1,0,1
whatTests,testselector.exception,NoNameException,4,0,0,0,2,0,1,0,1,0
whatTests,testselector.exception,NoPathException,8,0,0,0,4,0,2,0,2,0
